user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS00f6bafa38f,25-34,"Tier 1",2024-05-09,Premium,NULL,NULL,NULL
UIDJS00f729149fb,45+,"Tier 1",2024-10-05,VIP,NULL,NULL,NULL
UIDJS00f79d2a1c7,25-34,"Tier 1",2024-03-10,Premium,NULL,NULL,NULL
UIDJS00f8324700a,35-44,"Tier 1",2024-11-06,VIP,NULL,NULL,NULL
UIDJS00f89c766ae,18-24,"Tier 3",2024-03-17,Free,NULL,NULL,NULL
UIDJS00f915617e5,35-44,"Tier 1",2024-08-16,Premium,NULL,NULL,NULL
UIDJS00fa4cda216,45+,"Tier 1",2024-09-22,Free,NULL,NULL,NULL
UIDJS00fa7f84e35,25-34,"Tier 2",2024-02-06,VIP,2024-04-16,NULL,NULL
UIDJS00fab440908,25-34,"Tier 2",2024-04-06,VIP,NULL,2024-08-06,Free
UIDJS00fc21001b2,35-44,"Tier 1",2024-02-05,Premium,NULL,NULL,NULL
UIDJS00fc3346ab4,45+,"Tier 1",2024-01-31,VIP,NULL,2024-09-30,Premium
UIDJS00fcea5e88b,25-34,"Tier 3",2024-03-08,Free,2024-06-15,NULL,NULL
UIDJS00fdffbd023,35-44,"Tier 3",2024-01-19,Free,NULL,NULL,NULL
UIDJS010211941c2,18-24,"Tier 1",2024-09-06,VIP,NULL,NULL,NULL
UIDJS01027b42f6e,25-34,"Tier 1",2024-07-19,Free,2024-09-20,NULL,NULL
UIDJS0102ee4140a,45+,"Tier 2",2024-07-08,VIP,NULL,NULL,NULL
UIDJS01048508146,35-44,"Tier 3",2024-09-01,Free,NULL,NULL,NULL
UIDJS01063267841,45+,"Tier 1",2024-02-14,VIP,NULL,2024-04-14,Premium
UIDJS01064870bff,45+,"Tier 1",2024-11-26,VIP,NULL,NULL,NULL
UIDJS01079a7f0e3,45+,"Tier 2",2024-09-02,VIP,NULL,NULL,NULL
UIDJS01079f32167,18-24,"Tier 1",2024-09-09,Premium,NULL,NULL,NULL
UIDJS0108248456a,25-34,"Tier 3",2024-11-21,Free,NULL,NULL,NULL
UIDJS0109f4c4d93,35-44,"Tier 2",2024-04-17,VIP,NULL,2024-05-17,Premium
UIDJS010a79036c3,25-34,"Tier 1",2024-07-18,VIP,NULL,NULL,NULL
UIDJS010c670b03a,25-34,"Tier 2",2024-07-23,VIP,2024-11-15,NULL,NULL
UIDJS010eeb72d39,35-44,"Tier 1",2024-02-21,VIP,NULL,NULL,NULL
UIDJS010f94e9948,25-34,"Tier 2",2024-05-06,Premium,NULL,NULL,NULL
UIDJS0110b76f4f6,25-34,"Tier 1",2024-06-26,Free,NULL,NULL,NULL
UIDJS01164dc9bc1,18-24,"Tier 1",2024-02-27,Free,2024-04-07,NULL,NULL
UIDJS0117d98e94f,25-34,"Tier 2",2024-10-26,VIP,NULL,2024-11-26,Free
UIDJS0117e9cd114,25-34,"Tier 1",2024-02-17,Premium,NULL,NULL,NULL
UIDJS011af89a1d5,25-34,"Tier 1",2024-06-01,Premium,NULL,NULL,NULL
UIDJS011de7f415b,25-34,"Tier 3",2024-04-05,VIP,NULL,2024-10-05,Premium
UIDJS011e658a77a,25-34,"Tier 3",2024-06-29,VIP,NULL,NULL,NULL
UIDJS012131dc360,18-24,"Tier 1",2024-11-02,Premium,NULL,NULL,NULL
UIDJS0121c44215f,25-34,"Tier 2",2024-09-26,VIP,NULL,NULL,NULL
UIDJS0122a4196c0,45+,"Tier 3",2024-04-06,Free,NULL,NULL,NULL
UIDJS0122c0f9392,35-44,"Tier 1",2024-07-09,Free,2024-09-23,NULL,NULL
UIDJS0122c44f084,25-34,"Tier 1",2024-01-30,Premium,2024-03-25,NULL,NULL
UIDJS0124eea2804,18-24,"Tier 2",2024-01-12,VIP,NULL,NULL,NULL
UIDJS0128cfdc2b5,25-34,"Tier 1",2024-07-28,VIP,NULL,NULL,NULL
UIDJS01296986b28,25-34,"Tier 2",2024-01-03,Free,NULL,NULL,NULL
UIDJS0129730f7e2,18-24,"Tier 1",2024-05-08,Free,NULL,2024-07-08,Premium
UIDJS012b66943fe,18-24,"Tier 1",2024-09-06,Free,2024-10-18,NULL,NULL
UIDJS012c875c469,45+,"Tier 1",2024-10-29,VIP,NULL,NULL,NULL
UIDJS012d981027d,18-24,"Tier 1",2024-04-05,VIP,2024-09-21,NULL,NULL
UIDJS01301bc458d,18-24,"Tier 1",2024-09-27,Premium,NULL,NULL,NULL
UIDJS0130e78a627,45+,"Tier 2",2024-07-02,VIP,2024-08-13,NULL,NULL
UIDJS01316c0caa1,25-34,"Tier 2",2024-01-02,VIP,NULL,NULL,NULL
UIDJS0137a1bb303,25-34,"Tier 1",2024-11-01,Premium,NULL,NULL,NULL
UIDJS0139345516e,25-34,"Tier 1",2024-08-25,Premium,NULL,NULL,NULL
UIDJS013b7d353d7,25-34,"Tier 1",2024-08-04,Free,NULL,NULL,NULL
UIDJS013ce2ca1ab,25-34,"Tier 2",2024-04-19,VIP,NULL,NULL,NULL
UIDJS013d9f02cd4,45+,"Tier 2",2024-07-17,Free,2024-12-05,NULL,NULL
UIDJS013fa103eee,18-24,"Tier 2",2024-02-07,Premium,2024-06-04,NULL,NULL
UIDJS013faa28b4a,25-34,"Tier 1",2024-08-29,Premium,NULL,NULL,NULL
UIDJS01405aa26b2,35-44,"Tier 1",2024-03-09,VIP,NULL,NULL,NULL
UIDJS0140a10faeb,18-24,"Tier 1",2024-04-10,VIP,NULL,NULL,NULL
UIDJS0142982988f,25-34,"Tier 1",2024-06-05,Premium,NULL,NULL,NULL
UIDJS01453764f9c,25-34,"Tier 1",2024-04-28,Premium,NULL,NULL,NULL
UIDJS01455570436,35-44,"Tier 1",2024-08-28,VIP,NULL,NULL,NULL
UIDJS014777a2531,45+,"Tier 2",2024-01-09,VIP,NULL,NULL,NULL
UIDJS0148a1f2e7c,45+,"Tier 3",2024-07-06,Free,NULL,2024-09-06,VIP
UIDJS01492774b54,25-34,"Tier 1",2024-03-07,VIP,NULL,2024-04-07,Premium
UIDJS0150116adda,18-24,"Tier 2",2024-08-23,Free,NULL,NULL,NULL
UIDJS01513765e51,25-34,"Tier 3",2024-05-21,Free,2024-07-13,NULL,NULL
UIDJS015140dde26,45+,"Tier 2",2024-11-20,Free,NULL,NULL,NULL
UIDJS01531779cd9,18-24,"Tier 3",2024-02-15,Free,NULL,NULL,NULL
UIDJS0154b86e997,18-24,"Tier 3",2024-01-09,VIP,NULL,NULL,NULL
UIDJS0156848900b,25-34,"Tier 1",2024-07-15,VIP,NULL,2024-08-15,Free
UIDJS01572d3fbf0,35-44,"Tier 2",2024-03-19,Free,NULL,NULL,NULL
UIDJS0159170d1dc,35-44,"Tier 1",2024-08-26,VIP,NULL,2024-11-26,Free
UIDJS01638d6319b,25-34,"Tier 1",2024-11-19,Premium,NULL,NULL,NULL
UIDJS0163bac69a6,35-44,"Tier 3",2024-02-27,Premium,NULL,NULL,NULL
UIDJS0165eaaec34,25-34,"Tier 1",2024-02-05,VIP,NULL,2024-09-05,Premium
UIDJS0167b3a4fef,45+,"Tier 1",2024-11-21,VIP,NULL,2024-12-21,Premium
UIDJS016b0c6c288,35-44,"Tier 2",2024-11-22,VIP,NULL,NULL,NULL
UIDJS016cecb23e1,35-44,"Tier 1",2024-01-30,Premium,NULL,NULL,NULL
UIDJS016d06b7ad1,25-34,"Tier 1",2024-08-26,Premium,NULL,NULL,NULL
UIDJS016db2067a5,35-44,"Tier 2",2024-02-07,VIP,NULL,NULL,NULL
UIDJS016eb39b370,25-34,"Tier 1",2024-10-04,VIP,NULL,2024-11-04,Free
UIDJS0171f1f4cd7,45+,"Tier 1",2024-04-30,Free,NULL,NULL,NULL
UIDJS017242c6666,25-34,"Tier 2",2024-07-06,VIP,NULL,2024-09-06,Premium
UIDJS0173a3ffda7,18-24,"Tier 1",2024-03-07,Free,NULL,NULL,NULL
UIDJS01741a7dbc9,25-34,"Tier 1",2024-02-17,Premium,NULL,NULL,NULL
UIDJS0176a68d2a7,25-34,"Tier 1",2024-05-05,VIP,2024-09-26,NULL,NULL
UIDJS017d3ab9f4a,35-44,"Tier 2",2024-03-24,VIP,NULL,NULL,NULL
UIDJS017f11ad05c,18-24,"Tier 3",2024-04-11,Premium,NULL,NULL,NULL
UIDJS0180de5eab4,35-44,"Tier 1",2024-04-28,VIP,NULL,2024-06-28,Premium
UIDJS0181ea65ce0,45+,"Tier 1",2024-09-22,Free,NULL,NULL,NULL
UIDJS018348c4447,25-34,"Tier 1",2024-07-13,VIP,NULL,NULL,NULL
UIDJS01837acb622,25-34,"Tier 2",2024-02-08,Premium,NULL,NULL,NULL
UIDJS0186c811fa4,25-34,"Tier 1",2024-06-05,VIP,NULL,NULL,NULL
UIDJS018a58964bc,18-24,"Tier 2",2024-01-04,Free,NULL,NULL,NULL
UIDJS018d64c16df,45+,"Tier 1",2024-07-31,Free,NULL,2024-12-31,Premium
UIDJS018dd23d8c2,25-34,"Tier 1",2024-02-21,Free,NULL,NULL,NULL
UIDJS018e651c874,25-34,"Tier 2",2024-01-26,VIP,NULL,2024-05-26,Premium
UIDJS018ee0968c5,35-44,"Tier 2",2024-03-23,VIP,2024-08-02,NULL,NULL
UIDJS01902f5b0dd,25-34,"Tier 1",2024-07-25,VIP,NULL,2024-08-25,Free
UIDJS0192908e87f,18-24,"Tier 1",2024-11-03,VIP,NULL,NULL,NULL
UIDJS01951f98bf9,25-34,"Tier 1",2024-04-11,Premium,NULL,NULL,NULL
UIDJS0197ef9174c,35-44,"Tier 2",2024-09-08,VIP,NULL,NULL,NULL
UIDJS01986720531,18-24,"Tier 2",2024-11-17,VIP,NULL,NULL,NULL
UIDJS019880aa44d,35-44,"Tier 1",2024-08-22,VIP,NULL,NULL,NULL
UIDJS01990c4bf05,35-44,"Tier 2",2024-06-22,Free,2024-10-09,NULL,NULL
UIDJS019a4e5da10,25-34,"Tier 3",2024-04-28,Free,NULL,2024-06-28,VIP
UIDJS019ae965583,25-34,"Tier 1",2024-05-25,VIP,NULL,NULL,NULL
UIDJS019cb16dc91,35-44,"Tier 3",2024-08-01,Free,NULL,NULL,NULL
UIDJS019d7de71e0,35-44,"Tier 1",2024-01-12,VIP,NULL,2024-03-12,Premium
UIDJS019db8935c9,25-34,"Tier 2",2024-02-29,VIP,NULL,NULL,NULL
UIDJS019f73d3371,25-34,"Tier 1",2024-10-09,VIP,NULL,NULL,NULL
UIDJS019fdfcab8c,25-34,"Tier 3",2024-07-16,VIP,NULL,NULL,NULL
UIDJS01a05ea9a82,25-34,"Tier 1",2024-07-02,Free,NULL,NULL,NULL
UIDJS01a0e203d4a,25-34,"Tier 1",2024-05-08,Premium,NULL,NULL,NULL
